product_id,name,category,subcategory,brand,unit_price,unit_cost,margin_pct,stock,reorder_point,supplier,sku
P001,Laptop Pro 15,Electronics,Computers,TechBrand,1200.00,900.00,25.0,145,20,TechSupply Co,SKU-LP15-001
P002,Laptop Air 13,Electronics,Computers,TechBrand,999.00,750.00,24.9,98,15,TechSupply Co,SKU-LA13-002
P003,Smartphone X12,Electronics,Phones,MobileCo,800.00,650.00,18.8,210,30,MobileSource,SKU-SX12-003
P004,Smartphone Lite,Electronics,Phones,MobileCo,550.00,420.00,23.6,185,30,MobileSource,SKU-SL-004
P005,Tablet Pro 11,Electronics,Tablets,TechBrand,600.00,500.00,16.7,120,20,TechSupply Co,SKU-TP11-005
P006,Tablet Mini 8,Electronics,Tablets,TechBrand,399.00,310.00,22.6,95,15,TechSupply Co,SKU-TM8-006
P007,4K Monitor 27,Electronics,Monitors,DisplayTech,450.00,340.00,24.4,75,10,DisplaySource,SKU-4KM27-007
P008,Curved Monitor 32,Electronics,Monitors,DisplayTech,650.00,490.00,24.6,42,10,DisplaySource,SKU-CM32-008
P009,Wireless Headphones,Electronics,Audio,SoundCo,250.00,170.00,32.0,200,25,AudioSupply,SKU-WH-009
P010,Earbuds Pro,Electronics,Audio,SoundCo,180.00,120.00,33.3,250,30,AudioSupply,SKU-EP-010
P011,Mechanical Keyboard,Accessories,Input,KeyTech,120.00,80.00,33.3,310,40,AccessoryHub,SKU-MK-011
P012,Compact Keyboard,Accessories,Input,KeyTech,75.00,50.00,33.3,280,40,AccessoryHub,SKU-CK-012
P013,Wireless Mouse,Accessories,Input,ClickCo,60.00,40.00,33.3,400,50,AccessoryHub,SKU-WM-013
P014,Ergonomic Mouse,Accessories,Input,ClickCo,85.00,55.00,35.3,175,25,AccessoryHub,SKU-EM-014
P015,USB-C Hub 7-Port,Accessories,Connectivity,ConnectCo,90.00,58.00,35.6,220,30,ConnectSource,SKU-UCH7-015
P016,HDMI Cable 2m,Accessories,Connectivity,ConnectCo,25.00,12.00,52.0,500,60,ConnectSource,SKU-HDMI2-016
P017,Laptop Stand,Accessories,Ergonomics,DeskPro,55.00,32.00,41.8,190,25,DeskSupply,SKU-LS-017
P018,Monitor Arm,Accessories,Ergonomics,DeskPro,110.00,70.00,36.4,130,20,DeskSupply,SKU-MA-018
P019,Webcam 1080p,Electronics,Peripherals,VisionTech,140.00,95.00,32.1,160,20,VisionSource,SKU-WC1080-019
P020,External SSD 1TB,Electronics,Storage,StoreTech,130.00,88.00,32.3,175,25,StoreSource,SKU-SSD1TB-020
P021,External HDD 2TB,Electronics,Storage,StoreTech,95.00,62.00,34.7,145,20,StoreSource,SKU-HDD2TB-021
P022,Portable Charger,Accessories,Power,PowerCo,45.00,28.00,37.8,300,40,PowerSource,SKU-PC-022
P023,Desk Lamp LED,Accessories,Lighting,LightCo,40.00,24.00,40.0,220,30,LightSource,SKU-DL-023
P024,Cable Management Kit,Accessories,Organisation,OrgaCo,30.00,16.00,46.7,350,50,OrgaSource,SKU-CMK-024
P025,Smart Speaker,Electronics,Audio,SoundCo,120.00,80.00,33.3,140,20,AudioSupply,SKU-SS-025
